   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P  ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB,TRB ,AST ,STL,BLK,TOV,PF ,PTS
0  ,Mahmoud Abdul-Rauf   ,PG   ,26.0,DEN,57.0,53.0,35.6,7.3 ,16.8,0.434,2.1,5.4,0.392,5.1 ,11.3,0.454,0.497,2.6,2.8 ,0.93 ,0.5,2.0,2.4 ,6.8 ,1.1,0.1,2.0,2.1,19.2
1  ,Michael Adams        ,PG   ,33.0,CHH,21.0,3.0 ,15.7,1.8 ,4.0 ,0.446,0.7,2.0,0.341,1.1 ,2.0 ,0.548,0.53 ,1.2,1.7 ,0.743,0.2,0.8,1.0 ,3.2 ,1.0,0.2,1.2,1.2,5.4
2  ,Rafael Addison       ,SF   ,31.0,CHH,53.0,0.0 ,9.7 ,1.5 ,3.1 ,0.467,0.0,0.2,0.0  ,1.5 ,2.9 ,0.494,0.467,0.3,0.4 ,0.773,0.5,1.2,1.7 ,0.6 ,0.2,0.2,0.5,1.4,3.2
3  ,Cory Alexander       ,PG   ,22.0,SAS,60.0,0.0 ,9.3 ,1.1 ,2.6 ,0.406,0.4,1.1,0.394,0.6 ,1.5 ,0.416,0.49 ,0.3,0.4 ,0.64 ,0.2,0.6,0.7 ,2.0 ,0.5,0.0,1.1,1.6,2.8
4  ,Jerome Allen         ,SG   ,23.0,MIN,41.0,0.0 ,8.8 ,0.9 ,2.6 ,0.343,0.2,0.8,0.303,0.6 ,1.8 ,0.361,0.39 ,0.6,0.9 ,0.722,0.1,0.5,0.6 ,1.2 ,0.5,0.1,0.8,1.0,2.6
5  ,Derrick Alston       ,C    ,23.0,PHI,73.0,41.0,22.1,2.7 ,5.3 ,0.512,0.0,0.0,0.333,2.7 ,5.3 ,0.513,0.513,0.8,1.5 ,0.491,1.7,2.4,4.1 ,0.8 ,0.8,0.7,0.8,2.6,6.2
7  ,Ashraf Amaya         ,PF   ,24.0,VAN,54.0,34.0,20.4,2.2 ,4.7 ,0.48 ,0.0,0.0,0.0  ,2.2 ,4.6 ,0.482,0.48 ,1.8,2.8 ,0.651,2.1,3.5,5.6 ,0.6 ,0.4,0.2,1.1,2.8,6.3
8  ,Greg Anderson        ,PF   ,31.0,SAS,46.0,7.0 ,7.5 ,0.5 ,1.0 ,0.511,0.0,0.0,0.0  ,0.5 ,1.0 ,0.522,0.511,0.1,0.5 ,0.24 ,0.6,1.5,2.2 ,0.2 ,0.2,0.5,0.5,1.4,1.2
9  ,Kenny Anderson       ,PG   ,25.0,TOT,69.0,64.0,34.0,5.1 ,12.1,0.418,1.3,3.7,0.359,3.7 ,8.4 ,0.445,0.474,3.8,4.9 ,0.769,0.9,2.0,2.9 ,8.3 ,1.6,0.2,2.1,2.6,15.2
12 ,Nick Anderson        ,SG   ,28.0,ORL,77.0,77.0,35.3,5.2 ,11.7,0.442,2.2,5.6,0.391,3.0 ,6.2 ,0.489,0.535,2.2,3.1 ,0.692,1.2,4.2,5.4 ,3.6 ,1.6,0.6,1.8,1.8,14.7
13 ,Willie Anderson      ,SG   ,29.0,TOT,76.0,44.0,27.1,3.8 ,8.7 ,0.436,0.4,1.6,0.283,3.3 ,7.1 ,0.47 ,0.462,1.7,2.1 ,0.81 ,0.6,2.6,3.2 ,2.6 ,1.0,0.8,1.9,3.0,9.8
16 ,Greg Anthony         ,PG   ,28.0,VAN,69.0,68.0,30.4,4.7 ,11.3,0.415,1.3,3.9,0.332,3.4 ,7.4 ,0.459,0.472,3.3,4.3 ,0.771,0.4,2.1,2.5 ,6.9 ,1.7,0.2,2.3,2.0,14.0
17 ,B.J. Armstrong       ,PG   ,28.0,GSW,82.0,64.0,27.6,4.1 ,8.9 ,0.468,1.2,2.5,0.473,3.0 ,6.3 ,0.465,0.535,2.9,3.4 ,0.839,0.3,2.0,2.2 ,4.9 ,0.8,0.1,1.6,1.8,12.3
18 ,Darrell Armstrong    ,PG   ,27.0,ORL,13.0,0.0 ,3.2 ,1.2 ,2.5 ,0.5  ,0.5,0.9,0.5  ,0.8 ,1.5 ,0.5  ,0.594,0.3,0.3 ,1.0  ,0.0,0.2,0.2 ,0.4 ,0.5,0.0,0.5,0.3,3.2
19 ,Vincent Askew        ,SG   ,29.0,SEA,69.0,2.0 ,25.0,3.1 ,6.3 ,0.493,0.4,1.2,0.337,2.7 ,5.1 ,0.531,0.526,1.8,2.3 ,0.764,0.9,2.2,3.2 ,2.4 ,0.7,0.2,1.4,2.6,8.4
20 ,Keith Askins         ,SF   ,28.0,MIA,75.0,14.0,25.3,2.1 ,5.2 ,0.402,1.3,3.2,0.418,0.8 ,2.1 ,0.377,0.528,0.6,0.8 ,0.789,1.5,2.8,4.3 ,1.6 ,0.6,0.8,1.1,3.6,6.1
21 ,Stacey Augmon        ,SF   ,27.0,ATL,77.0,49.0,29.8,4.7 ,9.6 ,0.491,0.0,0.1,0.25 ,4.7 ,9.5 ,0.492,0.491,3.3,4.1 ,0.792,1.8,2.2,3.9 ,1.8 ,1.4,0.4,1.8,2.4,12.7
23 ,Vin Baker            ,PF   ,24.0,MIL,82.0,82.0,40.5,8.5 ,17.4,0.489,0.1,0.6,0.208,8.4 ,16.8,0.499,0.493,3.9,5.8 ,0.67 ,3.2,6.6,9.9 ,2.6 ,0.8,1.1,2.6,3.3,21.1
25 ,Steve Bardo          ,SG   ,27.0,DET,9.0 ,0.0 ,13.7,1.0 ,2.6 ,0.391,0.0,0.4,0.0  ,1.0 ,2.1 ,0.474,0.391,0.4,0.7 ,0.667,0.2,2.2,2.4 ,1.7 ,0.4,0.1,0.6,1.9,2.4
26 ,Charles Barkley*     ,PF   ,32.0,PHO,71.0,71.0,37.1,8.2 ,16.3,0.5  ,0.7,2.5,0.28 ,7.5 ,13.9,0.539,0.521,6.2,8.0 ,0.777,3.4,8.1,11.6,3.7 ,1.6,0.8,3.1,2.9,23.2
27 ,Dana Barros          ,PG   ,28.0,BOS,80.0,25.0,29.1,4.7 ,10.1,0.47 ,1.9,4.6,0.408,2.9 ,5.5 ,0.523,0.563,1.6,1.8 ,0.884,0.3,2.1,2.4 ,3.8 ,0.7,0.0,1.5,1.5,13.0
